DALS_path,split_type,augmentation_type,scaling_type,decoder_mode,latent_dim,ChamferL2 x 10000_mean,ChamferL2 x 10000_std,BL quality_mean,BL quality_std,No. ints._mean,No. ints._std,Precision@0.01_mean,Precision@0.01_std,Recall@0.01_mean,Recall@0.01_std,F1@0.01_mean,F1@0.01_std,Precision@0.02_mean,Precision@0.02_std,Recall@0.02_mean,Recall@0.02_std,F1@0.02_mean,F1@0.02_std,Search_mean,Search_std,Total_mean,Total_std,num_test_samples
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-02.ckpt,separate,noaug,individual,gcnn,256,241.9459355504889,134.84789935248654,0.9070621787717468,0.0019485176167913757,0.6097090871710527,0.2012476823262144,8.298236657914362,2.717383141493813,7.422026093068876,2.724644321252548,7.805684575909062,2.7033427383842947,17.87549950260865,5.464739140350329,15.819137704999823,5.495893289175771,16.70875367679094,5.434520618176905,1.7363219935643046,0.06847093990979748,1.7363225064779584,0.0684709557919157,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-04.ckpt,separate,noaug,individual,gcnn,512,259.44950384842724,113.45588916408063,0.8821256435231158,0.0021609320291570686,2.871607730263158,0.327142280176531,7.778341958397313,2.222841542361731,7.507335361681487,2.4088121651890413,7.612689986040718,2.2935137236357175,16.511229841332685,4.4634250303075165,15.959328491436807,4.9290930610325665,16.159174316807796,4.633270302127779,1.8205878954184682,0.0024516161503750455,1.8205883848039728,0.0024516225357048504,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-07.ckpt,separate,noaug,individual,mlp,256,2811.3487645199425,639.7499278840918,0.9884824752807617,0.0,0.0,0.0,0.22188157308234,0.16913743188895497,7.762407663229265,5.821207233549756,0.4310615715129595,0.3280012750735841,0.4454407747681743,0.33108828069461854,16.433789044814674,11.949297659009503,0.866555893159545,0.6427888037989616,1.527612146578337,0.0030832106495110715,1.5276126375323849,0.0030832095858500056,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-09.ckpt,separate,noaug,individual,mlp,512,2811.22774947317,639.5936038300816,0.9884824752807617,0.0,0.0,0.0,0.22160525629174357,0.1683567246930708,7.746374846092965,5.799206216093436,0.43054549799202696,0.32657507018820253,0.4439670933888441,0.3296833032870682,16.42745352340372,11.943569043118057,0.8637986158780557,0.6401947352230841,1.6109365303265422,0.00243560498199893,1.6109370369660228,0.0024355854769339473,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-08.ckpt,separate,noaug,individual,gcnn,128,205.16796586388037,124.77641782152227,0.9167191707774213,0.0013213938627887915,1.0143400493421053,0.07951550428144459,8.604374791446485,2.9900822761314267,8.015966945572904,3.054071343132496,8.267618879675865,3.0041788580107114,18.370190287891187,5.875642464493576,17.004946922001086,6.064846689329599,17.581642880251533,5.924361244265927,1.6831289702340175,0.0037494709529570514,1.6831294784420414,0.0037494502980976664,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-18.ckpt,separate,noaug,global,gcnn,128,148.62043232666818,73.82015404048778,0.9218592816277554,0.0005862053302715615,0.2523643092105263,0.09032755300370035,13.006045736764607,3.677686499386216,9.972499725065733,3.5706902763866966,11.189292860658545,3.5801814320766305,26.405848026275635,6.975733453969596,20.10645340932043,6.830580166270293,22.625801983632538,6.815138005661264,1.681685325346495,0.0031061514944316854,1.6816857519902682,0.0031061414156859824,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-20.ckpt,separate,noaug,global,gcnn,256,85.39731047027989,53.073671275668055,0.9411126763412827,0.001065831307432541,0.4539730674342105,0.04497529218916535,14.64174967690518,4.58090321792442,14.288506172205272,5.299208073339414,14.358787753080067,4.85585909790119,28.748176907238207,8.054386332929818,27.987196602319415,9.284755260388932,28.15550814804278,8.496910807730783,1.7308979348132485,0.0037127187479967716,1.7308983896908008,0.0037127263285986834,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-32.ckpt,separate,noaug,global,mlp,512,962.0281986437345,288.38820177710033,0.9884824752807617,0.0,0.0,0.0,0.6255657742976358,0.35581308308502446,9.881670811458639,5.711838851230001,1.1734200274865878,0.6638663956159413,1.2566644369171147,0.7045312238967593,20.098644279629777,11.259898002497252,2.3586414501401842,1.3134067592393268,1.6093655777604956,0.002296886224763135,1.6093660357751345,0.0022969202749222586,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-24.ckpt,separate,noaug,global,gcnn,512,94.96476207281414,45.259304930654324,0.9146886295393893,0.0018511075772403036,2.6525236430921053,0.2786265803982808,15.788466600995315,4.4791602729279925,12.933571940974184,4.549788344562392,14.117249855869694,4.4768047426664905,30.72886768140291,7.601630258453619,25.346315214508458,7.919190819960763,27.581896342729266,7.676140784968863,1.8170458784228878,0.0026166092438676216,1.8170464148646908,0.002616608050186525,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-25.ckpt,separate,noaug,global,mlp,128,961.8151678788034,289.38962494073405,0.9884824752807617,0.0,0.0,0.0,0.6280197217864426,0.3573188148177765,9.849302417745715,5.690038235951382,1.1772370296285342,0.6655370118444652,1.2576973376991718,0.7084034068946901,20.052907332385843,11.249544224280914,2.3596840508429238,1.3190475443337433,1.4913332148602134,0.00306968860602116,1.4913337591447329,0.003069654741204046,152
